Name;Web of Science Documents;Times Cited;Rank;% Docs Cited;Category Normalized Citation Impact;International Collaborations;All Open Access Documents;% First Author (2008-2022);% Global Baseline (Docs);% Documents in Top 1%;% International Collaborations;Gold Documents;% Last Author (2008-2022);% Global Baseline (Cites);Citation Impact;% Documents in Top 10%;% Industry Collaborations;Gold - Hybrid Documents;% Corresponding Author (2008-2022);% Baseline for All Items (Docs);Average Percentile;% Highly Cited Papers;Location Type;Free to Read Documents;First Author (2008-2022);Industry Collaborations;% Baseline for All Items (Cites);Highly Cited Papers;Impact Relative to World;Last Author (2008-2022);Domestic Collaborations;% Baseline for Pinned Items (Docs);Green Submitted Documents;% Hot Papers;Green Accepted Documents;Corresponding Author (2008-2022);% Domestic Collaborations;% Baseline for Pinned Items (Cites);Documents in JIF Journals;Green Published Documents;Documents in Q1 Journals;Green Only Documents;Citations From Patents;Documents in Q2 Journals;Non-Open Access Documents;Documents in Q3 Journals;% All Open Access Documents;Documents in Q4 Journals;% Gold Documents;% Documents in Q1 Journals;% Gold - Hybrid Documents;% Documents in Q2 Journals;% Free to Read Documents;% Documents in Q3 Journals;% Green Submitted Documents;% Documents in Q4 Journals;% Green Accepted Documents;% Green Published Documents;Documents in Top 1%;Documents in Top 10%;% Green Only Documents;Hot Papers;% Non-Open Access Documents
Global Baseline;1348891;35800053;n/a;65.84;0.986064037;147694;152555;n/a;100;1.2;10.95;8126;n/a;100;26.54036019;9.82;1.86;9844;n/a;n/a;38.58015442;0;;79841;n/a;25060;n/a;0;1;n/a;235849;n/a;39224;0;4273;n/a;17.48;n/a;1009815;44237;478311;54744;620620;227558;1196336;161771;11.31;142175;0.6;47.37;0.73;22.53;5.92;16.02;2.91;14.08;0.32;3.28;16204;132442;4.06;0;88.69
Baseline for All Items;1168409;35591771;n/a;73.65;1.050717534;147694;148532;n/a;n/a;1.29;12.64;7844;n/a;n/a;30.46173985;10.76;2.14;9793;n/a;100;42.87212975;0;;76917;n/a;25060;100;0;1.147751561;n/a;235849;n/a;38734;0;4214;n/a;20.19;n/a;903930;43532;444541;53978;616981;209464;1019877;144423;12.71;105502;0.67;49.18;0.84;23.17;6.58;15.98;3.32;11.67;0.36;3.73;15048;125778;4.62;0;87.29
USA;435823;17265962;1;70.54;1.353954861;67767;60026;0;32.30972703;1.91;15.55;1757;0;48.22887273;39.61691329;14.08;2.96;5399;0;37.30055143;45.12528416;0;Country/Region;29755;0;12912;48.51110668;0;1.492704432;0;88480;n/a;15075;0;1862;0;20.3;n/a;338466;18744;205182;23115;333591;67682;375797;42064;13.77;23538;0.4;60.62;1.24;20;6.83;12.43;3.46;6.95;0.43;4.3;8319;61385;5.3;0;86.23
UNITED KINGDOM;116683;4239808;2;72.8;1.227118383;28657;18903;0;8.650291239;1.63;24.56;410;0;11.84302157;36.33612437;12.57;2.68;818;0;9.986485897;45.16513938;0;Country/Region;11194;0;3124;11.91232659;0;1.369089346;0;15916;n/a;4196;0;1167;0;13.64;n/a;93146;6935;50203;6481;58416;23683;97780;12252;16.2;7008;0.35;53.9;0.7;25.43;9.59;13.15;3.6;7.52;1;5.94;1898;14668;5.55;0;83.8
ENGLAND;99285;3682421;3;72.97;1.242332361;24519;16312;0;7.360490951;1.66;24.7;349;0;10.28607695;37.0893992;12.82;2.94;694;0;8.497452519;45.45898067;0;Country/Region;9640;0;2919;10.34627077;0;1.397471584;0;14474;n/a;3679;0;962;0;14.58;n/a;79594;6059;43225;5629;51543;20113;82973;10315;16.43;5941;0.35;54.31;0.7;25.27;9.71;12.96;3.71;7.46;0.97;6.1;1648;12727;5.67;0;83.57
GERMANY (FED REP GER);92366;3144140;4;78.24;1.069452646;28460;12633;0;6.847551062;1.31;30.81;353;0;8.782500964;34.04001472;11.47;3.07;664;0;7.905279744;45.39496469;0;Country/Region;6037;0;2840;8.833895903;0;1.282575462;0;11889;n/a;4323;0;361;0;12.87;n/a;73580;3521;35312;5579;57717;16481;79733;12665;13.68;9122;0.38;47.99;0.72;22.4;6.54;17.21;4.68;12.4;0.39;3.81;1210;10596;6.04;0;86.32
JAPAN;95763;2601516;5;81.08;0.837877305;15107;15461;0;7.099387571;0.84;15.78;1049;0;7.266793711;27.16619154;8.41;4.81;920;0;8.196016977;43.45857468;0;Country/Region;9880;0;4603;7.309318775;0;1.023580364;0;24723;n/a;2574;0;118;0;25.82;n/a;76281;2945;35734;3612;55915;20516;80302;12939;16.15;7092;1.1;46.85;0.96;26.9;10.32;16.96;2.69;9.3;0.12;3.08;807;8052;3.77;0;83.85
FRANCE;64294;2213536;6;80.16;1.026284044;21258;10490;0;4.766434056;1.22;33.06;389;0;6.183052299;34.42834479;11.1;3.17;642;0;5.502696402;46.19792167;0;Country/Region;5165;0;2041;6.21923534;0;1.297207142;0;12131;n/a;3731;0;190;0;18.87;n/a;51774;2865;24999;4294;29249;11487;53804;8100;16.32;7188;0.61;48.28;1;22.19;8.03;15.64;5.8;13.88;0.3;4.46;783;7137;6.68;0;83.68
CANADA;50943;1937418;7;75.64;1.216552657;14769;7024;0;3.77665801;1.53;28.99;247;0;5.411774111;38.03109358;12.87;2.37;540;0;4.360031462;46.73128527;0;Country/Region;3854;0;1207;5.443443654;0;1.432953181;0;7173;n/a;1844;0;130;0;14.08;n/a;40468;1924;22043;2383;25619;9645;43919;5849;13.79;2931;0.48;54.47;1.06;23.83;7.57;14.45;3.62;7.24;0.26;3.78;777;6557;4.68;0;86.21
ITALY;44078;1398383;8;79.97;1.027485306;13023;6531;0;3.26772141;1.14;29.55;145;0;3.906091983;31.72519171;10.76;2.19;277;0;3.772480356;46.54162415;0;Country/Region;3245;0;966;3.928950318;0;1.195356486;0;10503;n/a;2362;0;120;0;23.83;n/a;35498;1644;17968;2864;20839;9047;37547;5499;14.82;2984;0.33;50.62;0.63;25.49;7.36;15.49;5.36;8.41;0.27;3.73;504;4744;6.5;0;85.18
NETHERLANDS;26689;1211825;9;82;1.347109761;9830;5564;0;1.978588337;1.88;36.83;106;0;3.384981022;45.40541047;15.2;4.22;230;0;2.284217256;52.07010693;0;Country/Region;2607;0;1127;3.404789832;0;1.710806113;0;3960;n/a;1759;0;132;0;14.84;n/a;22048;2200;12976;2621;18501;5259;21125;2577;20.85;1236;0.4;58.85;0.86;23.85;9.77;11.69;6.59;5.61;0.49;8.24;502;4058;9.82;0;79.15
AUSTRALIA;30931;1122758;10;79.53;1.13792813;8475;4513;0;2.293068899;1.48;27.4;136;0;3.136190888;36.29879409;12.13;1.4;226;0;2.647275055;48.05272304;0;Country/Region;2600;0;432;3.154543785;0;1.367682798;0;4894;n/a;981;0;145;0;15.82;n/a;25069;1440;12077;1551;13095;6663;26418;4075;14.59;2254;0.44;48.18;0.73;26.58;8.41;16.26;3.17;8.99;0.47;4.66;458;3752;5.01;0;85.41
SWITZERLAND;18674;927328;11;83.09;1.409623177;8496;3901;0;1.384396515;2.28;45.5;65;0;2.590297841;49.65877691;15.73;5.86;204;0;1.598241712;51.9449182;0;Country/Region;1543;0;1094;2.605456188;0;1.871066427;0;1421;n/a;1614;0;229;0;7.61;n/a;15580;1394;8816;2089;17862;3331;14773;1873;20.89;1560;0.35;56.59;1.09;21.38;8.26;12.02;8.64;10.01;1.23;7.46;425;2937;11.19;0;79.11
SPAIN;28802;918349;12;83.36;0.963826432;8328;4845;0;2.135235538;0.98;28.91;242;0;2.565216873;31.88490383;9.84;1.49;220;0;2.465061464;47.36820935;0;Country/Region;2110;0;428;2.580228447;0;1.201374194;0;4932;n/a;1764;0;310;0;17.12;n/a;24459;1452;11223;2273;10199;6676;23957;3932;16.82;2628;0.84;45.88;0.76;27.29;7.33;16.08;6.12;10.74;1.08;5.04;282;2833;7.89;0;83.18
SWEDEN;19727;848799;13;84.45;1.240760937;7603;3034;0;1.462460644;1.49;38.54;100;0;2.370943417;43.02727227;13.81;4.17;202;0;1.688364263;51.87842009;0;Country/Region;1675;0;823;2.384818109;0;1.621201519;0;2774;n/a;691;0;51;0;14.06;n/a;16542;893;8536;1057;13255;4490;16693;2377;15.38;1139;0.51;51.6;1.02;27.14;8.49;14.37;3.5;6.89;0.26;4.53;293;2724;5.36;0;84.62
