Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Corresponding Author (2008-2022),% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,First Author (2008-2022),Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Last Author (2008-2022),Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,Corresponding Author (2008-2022),% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,1756760,43098786,n/a,65.52,0.97691205964389,216178,257405,n/a,100,1.2,12.31,25884,n/a,100,24.533109815797264,9.81,1.79,15855,n/a,n/a,38.24077688517498,0.0,,117637,n/a,31516,n/a,7,1.0,n/a,357372,n/a,78774,0.0,15084,n/a,20.34,n/a,1236903,79214,592974,98029,601190,282951,1499355,190283,14.65,170695,1.47,47.94,0.9,22.88,6.7,15.38,4.48,13.8,0.86,4.51,21021,172391,5.58,0,85.35
Baseline for All Items,1531023,42614220,n/a,72.56,1.0347109979405926,216178,247008,n/a,n/a,1.27,14.12,24494,n/a,n/a,27.833820915819032,10.64,2.06,15438,n/a,100,42.076911735029455,0.0,,111360,n/a,31516,100,7,1.134541080393175,n/a,357372,n/a,77589,0.0,14724,n/a,23.34,n/a,1112646,76528,546830,95716,595670,267380,1284015,165222,16.13,133214,1.6,49.15,1.01,24.03,7.27,14.85,5.07,11.97,0.96,5.0,19449,162900,6.25,0,83.87
USA,522959,19259949,1,70.93,1.370107279729386,96745,93698,0.0,29.76838042760536,1.96,18.5,6552,0.0,44.6879153394251,36.82879346182014,14.26,2.9,6562,0.0,34.157488163143206,45.24423986086864,0.0,Country/Region,41672,0,15161,45.196061314744234,3,1.5011873235127122,0,118446,n/a,27066,0.0,8171,0,22.65,n/a,395421,30411,242864,38912,310637,80821,429261,42023,17.92,29713,1.25,61.42,1.25,20.44,7.97,10.63,5.18,7.51,1.56,5.82,10226,74588,7.44,0,82.08
UNITED KINGDOM,136319,4864718,2,72.28,1.2706766371525613,41184,30131,0.0,7.75968259750905,1.78,30.21,1834,0.0,11.287366655756847,35.68627997564536,13.28,3.04,1748,0.0,8.90378524685782,45.20835362348609,0.0,Country/Region,14597,0,4138,11.41571522369763,1,1.4546170560352847,0,19837,n/a,8506,0.0,3572,0,14.55,n/a,101237,11020,55422,11952,53313,25006,106188,13326,22.1,7483,1.35,54.74,1.28,24.7,10.71,13.16,6.24,7.39,2.62,8.08,2428,18108,8.77,0,77.9
ENGLAND,116653,4253129,3,72.51,1.3004856266019735,35318,25927,0.0,6.640235433411508,1.85,30.28,1578,0.0,9.86832668558228,36.45966241759749,13.57,3.32,1412,0.0,7.6192846221121435,45.54779552004664,0.0,Country/Region,12555,0,3874,9.980539359866262,1,1.4861410840838665,0,18122,n/a,7429,0.0,3069,0,15.53,n/a,87137,9515,48097,10382,46698,21372,90726,11312,22.23,6356,1.35,55.2,1.21,24.53,10.76,12.98,6.37,7.29,2.63,8.16,2163,15825,8.9,0,77.77
GERMANY (FED REP GER),110906,3907118,4,77.07,1.1460427280760284,40336,21523,0.0,6.313099114278558,1.51,36.37,1740,0.0,9.065494327380822,35.22909490920239,12.28,3.58,1163,0.0,7.243914689720533,45.59612336212649,0.0,Country/Region,9232,0,3972,9.168578000489038,1,1.435981625391731,0,16813,n/a,8639,0.0,1022,0,15.16,n/a,88194,6504,44653,9388,51400,20700,89383,12575,19.41,10266,1.57,50.63,1.05,23.47,8.32,14.26,7.79,11.64,0.92,5.86,1670,13617,8.46,0,80.59
JAPAN,106683,2763500,5,78.58,0.8051326912441532,19806,21014,0.0,6.072713404221408,0.86,18.57,1588,0.0,6.412013554163683,25.903845973585295,8.09,4.58,1408,0.0,6.968086044429117,41.70205580176786,0.0,Country/Region,12502,0,4881,6.484924515807165,0,1.0558729067810797,0,31508,n/a,4902,0.0,422,0,29.53,n/a,84119,4229,37594,5516,46947,23123,85669,14429,19.7,8973,1.49,44.69,1.32,27.49,11.72,17.15,4.59,10.67,0.4,3.96,916,8634,5.17,0,80.3
FRANCE,74544,2684681,6,80.58,1.2010426620519425,29106,17464,0.0,4.243266012431977,1.48,39.05,1325,0.0,6.229133693000077,36.01471614080275,12.37,3.51,888,0.0,4.868901381625227,47.48060702269801,0.0,Country/Region,7455,0,2618,6.299965129010926,1,1.468004521693874,0,15106,n/a,8045,0.0,675,0,20.26,n/a,59319,4763,30963,7796,29531,13558,57080,6415,23.43,8383,1.78,52.2,1.19,22.86,10.0,10.81,10.79,14.13,0.91,6.39,1105,9222,10.46,0,76.57
CANADA,69858,2506330,7,76.11,1.2655400984854992,23225,12966,0.0,3.9765249664154463,1.61,33.25,1348,0.0,5.815314612341981,35.87749434567265,13.28,2.56,784,0.0,4.562831518533686,47.280508643247735,0.0,Country/Region,6273,0,1787,5.88144051445738,1,1.462411191041527,0,10451,n/a,3686,0.0,536,0,14.96,n/a,52945,4158,29536,4561,28598,11854,56892,7376,18.56,4179,1.93,55.79,1.12,22.39,8.98,13.93,5.28,7.89,0.77,5.95,1123,9276,6.53,0,81.44
ITALY,61339,2012812,8,77.49,1.093707980240956,19677,12333,0.0,3.4915981693572262,1.36,32.08,907,0.0,4.670228994385131,32.814555176967346,11.2,2.24,609,0.0,4.006406174172432,45.76564354325959,0.0,Country/Region,5634,0,1374,4.723334135882341,0,1.337561989627484,0,15220,n/a,5036,0.0,357,0,24.81,n/a,47396,3303,26010,5183,23646,11680,49006,6183,20.11,3523,1.48,54.88,0.99,24.64,9.19,13.05,8.21,7.43,0.58,5.38,833,6870,8.45,0,79.89
CHINA MAINLAND,97662,1934188,9,72.13,0.6853230877925909,14848,8100,0.0,5.5592112753022604,0.79,15.2,760,0.0,4.487801582160574,19.804919006368905,7.31,0.96,1124,0.0,6.378872165865568,37.451442847781124,0.0,Country/Region,3663,0,938,4.5388323428189,0,0.8072730752469138,0,22717,n/a,2376,0.0,164,0,23.26,n/a,60584,2211,19256,2553,20354,17229,89562,13506,8.29,10593,0.78,31.78,1.15,28.44,3.75,22.29,2.43,17.48,0.17,2.26,773,7143,2.61,0,91.71
