Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Corresponding Author (2008-2022),% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,First Author (2008-2022),Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Last Author (2008-2022),Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,Corresponding Author (2008-2022),% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,2020613,45265112,n/a,65.5,0.9739708470647275,283624,325393,n/a,100,1.22,14.04,44369,n/a,100,22.401673155621587,9.79,2.13,19483,n/a,n/a,38.388758706392565,0.0,,126841,n/a,43050,n/a,0,1.0,n/a,454126,n/a,101533,0.0,33909,n/a,22.47,n/a,1357283,100683,645599,134700,542861,315793,1695220,200239,16.1,195652,2.2,47.57,0.96,23.27,6.28,14.75,5.02,14.41,1.68,4.98,24559,197722,6.67,0,83.9
Baseline for All Items,1796210,44698390,n/a,71.27,1.0224861996091772,283624,312363,n/a,n/a,1.27,15.79,42628,n/a,n/a,24.884835292087228,10.46,2.4,19028,n/a,100,41.53842165910445,0.0,,119687,n/a,43050,100,0,1.1108471728524663,n/a,454126,n/a,99666,0.0,32766,n/a,25.28,n/a,1249196,97289,604582,131020,538441,299441,1483847,188671,17.39,156502,2.37,48.4,1.06,23.97,6.66,15.1,5.55,12.53,1.82,5.42,22817,187817,7.29,0,82.61
USA,569274,19322379,1,70.44,1.3820759198558163,122452,118837,0.0,28.17333155829444,1.99,21.51,9967,0.0,42.68713396754657,33.942142096775896,14.14,3.49,7493,0.0,31.69306484208417,45.0728339985666,0.0,Country/Region,45409,0,19851,43.228355652183446,0,1.5151610266333293,0,134215,n/a,33650,0.0,23144,0,23.58,n/a,421267,36618,253685,55968,276009,87135,450437,48210,20.88,32237,1.75,60.22,1.32,20.68,7.98,11.44,5.91,7.65,4.07,6.43,11311,80515,9.83,0,79.12
UNITED KINGDOM,159436,5242285,2,72.12,1.3318326814521186,54001,37079,0.0,7.890476800852018,1.84,33.87,3203,0.0,11.581292453225345,32.8801838982413,13.59,3.15,2288,0.0,8.876244982490912,45.70324940164079,0.0,Country/Region,14082,0,5021,11.728129357679325,0,1.4677557193976907,0,22344,n/a,11468,0.0,6132,0,14.01,n/a,111650,13446,61001,17506,46086,27179,122357,14987,23.26,8483,2.01,54.64,1.44,24.34,8.83,13.42,7.19,7.6,3.85,8.43,2941,21668,10.98,0,76.74
ENGLAND,136576,4587018,3,72.34,1.3658643348758202,46373,32179,0.0,6.759136954973564,1.9,33.95,2785,0.0,10.133672043051611,33.5858276710403,13.85,3.42,1973,0.0,7.603565284682749,46.01346759167057,0.0,Country/Region,12103,0,4674,10.262154856136876,0,1.4992553206951913,0,20380,n/a,10065,0.0,5277,0,14.92,n/a,96245,11760,53076,15318,41236,23203,104397,12778,23.56,7188,2.04,55.15,1.44,24.11,8.86,13.28,7.37,7.47,3.86,8.61,2595,18913,11.22,0,76.44
GERMANY (FED REP GER),129403,4119846,4,73.66,1.1946234538611935,51435,26101,0.0,6.404145672625089,1.62,39.75,2914,0.0,9.10159241404285,31.837329891888132,12.58,4.33,1506,0.0,7.204224450370503,44.598489137037014,0.0,Country/Region,9828,0,5597,9.216989694707124,0,1.4212032141848616,0,20404,n/a,10939,0.0,1742,0,15.77,n/a,99282,8306,49106,11853,45745,23284,103302,11604,20.17,15288,2.25,49.46,1.16,23.45,7.59,11.69,8.45,15.4,1.35,6.42,2091,16274,9.16,0,79.83
FRANCE,86978,2781905,5,77.77,1.2086237715284325,37188,21917,0.0,4.304535306859849,1.62,42.76,2332,0.0,6.145803858830615,31.98400745015981,12.78,4.4,1121,0.0,4.842306857216027,46.92097119041597,0.0,Country/Region,7676,0,3825,6.223725284065041,0,1.4277508303942728,0,19435,n/a,10976,0.0,1255,0,22.34,n/a,64879,6332,34276,10788,27305,14453,65061,7258,25.2,8892,2.68,52.83,1.29,22.28,8.83,11.19,12.62,13.71,1.44,7.28,1408,11113,12.4,0,74.8
CHINA MAINLAND,147003,2766369,6,71.21,0.7283470072039346,24264,12872,0.0,7.275168476101064,0.75,16.51,2379,0.0,6.1114816196632855,18.818452684639087,8.05,1.29,848,0.0,8.184065337571887,39.06747159717829,0.0,Country/Region,5325,0,1893,6.188967880051161,0,0.840046748022332,0,40874,n/a,3723,0.0,493,0,27.8,n/a,86813,3034,31300,4320,26458,23410,134131,18900,8.76,13203,1.62,36.05,0.58,26.97,3.62,21.77,2.53,15.21,0.34,2.06,1104,11829,2.94,0,91.24
JAPAN,115310,2715893,7,75.57,0.8344571537594312,24219,23904,0.0,5.706684060728106,0.92,21.0,2449,0.0,5.999969689680653,23.55297025409765,8.33,5.65,1401,0.0,6.41962799449953,40.79445045876333,0.0,Country/Region,13206,0,6511,6.076042112478771,0,1.0513933530981436,0,36664,n/a,6200,0.0,762,0,31.8,n/a,86314,4706,37362,6848,47703,23697,91406,14983,20.73,10272,2.12,43.29,1.21,27.45,11.45,17.36,5.38,11.9,0.66,4.08,1062,9604,5.94,0,79.27
CANADA,82364,2704457,8,75.03,1.2869467886455248,30207,16416,0.0,4.076188760539499,1.82,36.68,1992,0.0,5.974705199006245,32.83542567140984,13.48,2.81,982,0.0,4.585432660991755,47.13034950463795,0.0,Country/Region,7223,0,2315,6.0504572983501195,0,1.465757733509738,0,12852,n/a,4874,0.0,1196,0,15.6,n/a,59381,5488,32732,6219,26180,13620,65948,8595,19.93,4434,2.42,55.12,1.19,22.94,8.77,14.47,5.92,7.47,1.45,6.66,1498,11101,7.55,0,80.07
