INDICATOR;Indicator;Code;Country;Year;Time;Value;Flag Codes;Flags
GERD;GERD as a percentage of GDP;AUS;Australia;2000;2000;1.57424;;
GERD;GERD as a percentage of GDP;AUS;Australia;2002;2002;1.74854;;
GERD;GERD as a percentage of GDP;AUS;Australia;2004;2004;1.8495;;
GERD;GERD as a percentage of GDP;AUS;Australia;2006;2006;2.18113;;
GERD;GERD as a percentage of GDP;AUS;Australia;2008;2008;2.40112;;
GERD;GERD as a percentage of GDP;AUS;Australia;2010;2010;2.37286;;
GERD;GERD as a percentage of GDP;AUS;Australia;2011;2011;2.23563;;
GERD;GERD as a percentage of GDP;AUS;Australia;2013;2013;2.17849;;
GERD;GERD as a percentage of GDP;AUS;Australia;2015;2015;1.92083;;
GERD;GERD as a percentage of GDP;AUS;Australia;2017;2017;1.87926;;
GERD;GERD as a percentage of GDP;AUS;Australia;2019;2019;1.82928;;
GERD;GERD as a percentage of GDP;AUT;Austria;2000;2000;1.88602;;
GERD;GERD as a percentage of GDP;AUT;Austria;2001;2001;1.9921;;
GERD;GERD as a percentage of GDP;AUT;Austria;2002;2002;2.06598;;
GERD;GERD as a percentage of GDP;AUT;Austria;2003;2003;2.17456;;
GERD;GERD as a percentage of GDP;AUT;Austria;2004;2004;2.16612;;
GERD;GERD as a percentage of GDP;AUT;Austria;2005;2005;2.37324;;
GERD;GERD as a percentage of GDP;AUT;Austria;2006;2006;2.35923;;
GERD;GERD as a percentage of GDP;AUT;Austria;2007;2007;2.41843;;
GERD;GERD as a percentage of GDP;AUT;Austria;2008;2008;2.56945;;
GERD;GERD as a percentage of GDP;AUT;Austria;2009;2009;2.59674;;
GERD;GERD as a percentage of GDP;AUT;Austria;2010;2010;2.7261;;
GERD;GERD as a percentage of GDP;AUT;Austria;2011;2011;2.66868;;
GERD;GERD as a percentage of GDP;AUT;Austria;2012;2012;2.91472;;
GERD;GERD as a percentage of GDP;AUT;Austria;2013;2013;2.95492;;
GERD;GERD as a percentage of GDP;AUT;Austria;2014;2014;3.08429;;
GERD;GERD as a percentage of GDP;AUT;Austria;2015;2015;3.04969;;
GERD;GERD as a percentage of GDP;AUT;Austria;2016;2016;3.11655;;
GERD;GERD as a percentage of GDP;AUT;Austria;2017;2017;3.05656;;
GERD;GERD as a percentage of GDP;AUT;Austria;2018;2018;3.09058;;
GERD;GERD as a percentage of GDP;AUT;Austria;2019;2019;3.12972;;
