INDICATOR;Indicator;Code;Country;Year;Time;Value;Flag Codes;Flags
RPMI;Researchers per million inhabitants (FTE);AUS;Australia;2000;2000;3475.32527;;
RPMI;Researchers per million inhabitants (FTE);AUS;Australia;2002;2002;3771.53817;;
RPMI;Researchers per million inhabitants (FTE);AUS;Australia;2004;2004;4084.15159;;
RPMI;Researchers per million inhabitants (FTE);AUS;Australia;2006;2006;4248.25649;;
RPMI;Researchers per million inhabitants (FTE);AUS;Australia;2008;2008;4343.12653;;
RPMI;Researchers per million inhabitants (FTE);AUS;Australia;2010;2010;4532.40149;;
RPMI;Researchers per million inhabitants (FTE);AUT;Austria;2002;2002;2965.68455;;
RPMI;Researchers per million inhabitants (FTE);AUT;Austria;2004;2004;3158.79469;;
RPMI;Researchers per million inhabitants (FTE);AUT;Austria;2005;2005;3449.33454;;
RPMI;Researchers per million inhabitants (FTE);AUT;Austria;2006;2006;3524.13895;;
RPMI;Researchers per million inhabitants (FTE);AUT;Austria;2007;2007;3810.03152;;
RPMI;Researchers per million inhabitants (FTE);AUT;Austria;2008;2008;4136.92593;;
RPMI;Researchers per million inhabitants (FTE);AUT;Austria;2009;2009;4140.10453;;
RPMI;Researchers per million inhabitants (FTE);AUT;Austria;2010;2010;4349.71722;;
RPMI;Researchers per million inhabitants (FTE);AUT;Austria;2011;2011;4390.34667;;
RPMI;Researchers per million inhabitants (FTE);AUT;Austria;2012;2012;4669.44719;;
RPMI;Researchers per million inhabitants (FTE);AUT;Austria;2013;2013;4724.72032;;
RPMI;Researchers per million inhabitants (FTE);AUT;Austria;2014;2014;4947.87477;;
RPMI;Researchers per million inhabitants (FTE);AUT;Austria;2015;2015;5019.43848;;
RPMI;Researchers per million inhabitants (FTE);AUT;Austria;2016;2016;5372.23996;;
RPMI;Researchers per million inhabitants (FTE);AUT;Austria;2017;2017;5387.92896;;
RPMI;Researchers per million inhabitants (FTE);AUT;Austria;2018;2018;5639.06333;;
RPMI;Researchers per million inhabitants (FTE);AUT;Austria;2019;2019;5895.44374;;
RPMI;Researchers per million inhabitants (FTE);AUT;Austria;2020;2020;5751.32256;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2000;2000;2970.19422;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2001;2001;3123.98921;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2002;2002;2958.84489;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2003;2003;2967.37;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2004;2004;3091.60518;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2005;2005;3142.7299;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2006;2006;3284.43073;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2007;2007;3395.01749;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2008;2008;3411.75263;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2009;2009;3519.85499;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2010;2010;3732.83127;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2011;2011;3875.64397;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2012;2012;4113.26364;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2013;2013;4155.91094;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2014;2014;4528.91488;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2015;2015;4711.04559;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2016;2016;4780.51719;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2017;2017;4729.55358;;
RPMI;Researchers per million inhabitants (FTE);BEL;Belgium;2018;2018;5003.94559;;
